Payment_time,Transaction_id,Partner_transaction_id,Amount,Foreign_amount,Currency,Exchange_Rate,Fee_type,Fee_amount,Foreign_fee_amount,Fee_desc
2018-02-13 11:57:04,2018021321001001490567896364	,125051088010986362	,76.82	,12.12	,USD,6.33590000	,Tmall Logisitic,9.24	,1.46	,菜鸟-保税_进口关税(商家){LP00093796085352}_2604839566
2018-02-13 11:57:04,2018021321001001490567896364	,125051088010986362	,76.82	,12.12	,USD,6.33590000	,Tmall Logisitic,16.00	,2.53	,菜鸟-保税_服务费用(商家){LP00093796085352}_2604839566
2018-02-13 11:57:04,2018021321001001490567896364	,125051088010986362	,76.82	,12.12	,USD,6.33590000	,Alipay commission,0.77	,0.12	,Alipay service fee
2018-02-13 11:57:04,2018021321001001490567896364	,125051088010986362	,76.82	,12.12	,USD,6.33590000	,Tmall Global Commission,1.36	,0.21	,Tmall Global Commission
2018-02-14 13:14:46,2018021421001001120543589234	,117645531141571657	,69.60	,10.97	,USD,6.34480000	,Tmall Global Commission,1.22	,0.19	,Tmall Global Commission
2018-02-14 13:14:46,2018021421001001120543589234	,117645531141571657	,69.60	,10.97	,USD,6.34480000	,Tmall Logisitic,8.47	,1.33	,菜鸟-保税_进口关税(商家){LP00090677565005}_2604839566
2018-02-14 13:14:46,2018021421001001120543589234	,117645531141571657	,69.60	,10.97	,USD,6.34480000	,Tmall Logisitic,16.00	,2.52	,菜鸟-保税_服务费用(商家){LP00090677565005}_2604839566
2018-02-14 13:14:46,2018021421001001120543589234	,117645531141571657	,69.60	,10.97	,USD,6.34480000	,Alipay commission,0.70	,0.11	,Alipay service fee
2018-02-14 13:22:10,2018021421001001680560423124	,129723352752118309	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00090677648833}_2604839566
2018-02-14 13:22:10,2018021421001001680560423124	,129723352752118309	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00090677648833}_2604839566
2018-02-14 13:22:10,2018021421001001680560423124	,129723352752118309	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 13:22:10,2018021421001001680560423124	,129723352752118309	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-14 14:23:51,2018021421001001320552866444	,125197670274558064	,22.27	,3.51	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00093805960168}_2604839566
2018-02-14 14:23:51,2018021421001001320552866444	,125197670274558064	,22.27	,3.51	,USD,6.34480000	,Tmall Global Commission,0.40	,0.06	,Tmall Global Commission
2018-02-14 14:23:51,2018021421001001320552866444	,125197670274558064	,22.27	,3.51	,USD,6.34480000	,Tmall Logisitic,2.37	,0.37	,菜鸟-保税_进口关税(商家){LP00093805960168}_2604839566
2018-02-14 14:23:51,2018021421001001320552866444	,125197670274558064	,22.27	,3.51	,USD,6.34480000	,Alipay commission,0.22	,0.03	,Alipay service fee
2018-02-14 15:06:32,2018021421001001480548866924	,125198536322011685	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00093806206155}_2604839566
2018-02-14 15:06:32,2018021421001001480548866924	,125198536322011685	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 15:06:32,2018021421001001480548866924	,125198536322011685	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-14 15:06:32,2018021421001001480548866924	,125198536322011685	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00093806206155}_2604839566
2018-02-14 15:08:42,2018021421001001200243801235	,125183053526640487	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 15:08:42,2018021421001001200243801235	,125183053526640487	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-14 15:08:42,2018021421001001200243801235	,125183053526640487	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00094543843852}_2604839566
2018-02-14 15:08:42,2018021421001001200243801235	,125183053526640487	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00094543843852}_2604839566
2018-02-14 15:37:20,2018021421001001070205111937	,117563376936411935	,180.84	,28.50	,USD,6.34480000	,Tmall Global Commission,3.17	,0.50	,Tmall Global Commission
2018-02-14 15:37:20,2018021421001001070205111937	,117563376936411935	,180.84	,28.50	,USD,6.34480000	,Tmall Logisitic,22.43	,3.54	,菜鸟-保税_进口关税(商家){LP00093806278760}_2604839566
2018-02-14 15:37:20,2018021421001001070205111937	,117563376936411935	,180.84	,28.50	,USD,6.34480000	,Alipay commission,1.81	,0.29	,Alipay service fee
2018-02-14 15:37:20,2018021421001001070205111937	,117563376936411935	,180.84	,28.50	,USD,6.34480000	,Tmall Logisitic,25.00	,3.94	,菜鸟-保税_服务费用(商家){LP00093806278760}_2604839566
2018-02-14 15:45:06,2018021421001001770551777321	,129737352092167400	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-14 15:45:06,2018021421001001770551777321	,129737352092167400	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00094544502503}_2604839566
2018-02-14 15:45:06,2018021421001001770551777321	,129737352092167400	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00094544502503}_2604839566
2018-02-14 15:45:06,2018021421001001770551777321	,129737352092167400	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 15:57:24,2018021421001001150225685029	,125144275706383682	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00094544490794}_2604839566
2018-02-14 15:57:24,2018021421001001150225685029	,125144275706383682	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00094544490794}_2604839566
2018-02-14 15:57:24,2018021421001001150225685029	,125144275706383682	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 15:57:24,2018021421001001150225685029	,125144275706383682	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-14 15:57:24,2018021421001001150225685029	,125144275706383682	,19.90	,3.14	,USD,6.34480000	,Taobaoke’s replenished deduction of International settlement (ordinary Taobaoke)(125144275706383682),0.89	,0.14	,2018021421001001150225685029-Taobaoke’s replenished deduction of International settlement (ordinary Taobaoke)(125144275706383682)
2018-02-14 16:11:34,2018021421001001600557942849	,125190109790859886	,74.34	,11.72	,USD,6.34480000	,Tmall Logisitic,8.98	,1.42	,菜鸟-保税_进口关税(商家){LP00094544604833}_2604839566
2018-02-14 16:11:34,2018021421001001600557942849	,125190109790859886	,74.34	,11.72	,USD,6.34480000	,Alipay commission,0.74	,0.12	,Alipay service fee
2018-02-14 16:11:34,2018021421001001600557942849	,125190109790859886	,74.34	,11.72	,USD,6.34480000	,Tmall Global Commission,1.31	,0.21	,Tmall Global Commission
2018-02-14 16:11:34,2018021421001001600557942849	,125190109790859886	,74.34	,11.72	,USD,6.34480000	,Tmall Logisitic,16.00	,2.52	,菜鸟-保税_服务费用(商家){LP00094544604833}_2604839566
2018-02-14 18:10:43,2018021421001001110552585278	,125204361848232186	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00093807257443}_2604839566
2018-02-14 18:10:43,2018021421001001110552585278	,125204361848232186	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-14 18:10:43,2018021421001001110552585278	,125204361848232186	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 18:10:43,2018021421001001110552585278	,125204361848232186	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00093807257443}_2604839566
2018-02-14 18:14:43,2018021421001001110551993556	,125163175381232186	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-14 18:14:43,2018021421001001110551993556	,125163175381232186	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 18:14:43,2018021421001001110551993556	,125163175381232186	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00090679766293}_2604839566
2018-02-14 18:14:43,2018021421001001110551993556	,125163175381232186	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00090679766293}_2604839566
2018-02-14 18:16:42,2018021421001001560540126994	,130018307249215127	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00093807377106}_2604839566
2018-02-14 18:16:42,2018021421001001560540126994	,130018307249215127	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00093807377106}_2604839566
2018-02-14 18:16:42,2018021421001001560540126994	,130018307249215127	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 18:16:42,2018021421001001560540126994	,130018307249215127	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-14 20:19:06,2018021421001001220244151975	,125243870098736461	,22.27	,3.51	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00090680469021}_2604839566
2018-02-14 20:19:06,2018021421001001220244151975	,125243870098736461	,22.27	,3.51	,USD,6.34480000	,Alipay commission,0.22	,0.03	,Alipay service fee
2018-02-14 20:19:06,2018021421001001220244151975	,125243870098736461	,22.27	,3.51	,USD,6.34480000	,Tmall Global Commission,0.40	,0.06	,Tmall Global Commission
2018-02-14 20:19:06,2018021421001001220244151975	,125243870098736461	,22.27	,3.51	,USD,6.34480000	,Taobaoke’s replenished deduction of International settlement (ordinary Taobaoke)(125243870098736461),1.00	,0.16	,2018021421001001220244151975-Taobaoke’s replenished deduction of International settlement (ordinary Taobaoke)(125243870098736461)
2018-02-14 20:19:06,2018021421001001220244151975	,125243870098736461	,22.27	,3.51	,USD,6.34480000	,Tmall Logisitic,2.37	,0.37	,菜鸟-保税_进口关税(商家){LP00090680469021}_2604839566
2018-02-14 20:23:08,2018021421001001390571948851	,117649590706221954	,59.70	,9.41	,USD,6.34480000	,Tmall Logisitic,16.00	,2.52	,菜鸟-保税_服务费用(商家){LP00093808067871}_2604839566
2018-02-14 20:23:08,2018021421001001390571948851	,117649590706221954	,59.70	,9.41	,USD,6.34480000	,Alipay commission,0.60	,0.09	,Alipay service fee
2018-02-14 20:23:08,2018021421001001390571948851	,117649590706221954	,59.70	,9.41	,USD,6.34480000	,Tmall Logisitic,6.35	,1.00	,菜鸟-保税_进口关税(商家){LP00093808067871}_2604839566
2018-02-14 20:23:08,2018021421001001390571948851	,117649590706221954	,59.70	,9.41	,USD,6.34480000	,Tmall Global Commission,1.07	,0.17	,Tmall Global Commission
2018-02-14 20:24:32,2018021421001001220565261799	,117601457327786954	,99.50	,15.68	,USD,6.34480000	,Tmall Logisitic,10.59	,1.67	,菜鸟-保税_进口关税(商家){LP00093808319030}_2604839566
2018-02-14 20:24:32,2018021421001001220565261799	,117601457327786954	,99.50	,15.68	,USD,6.34480000	,Tmall Global Commission,1.78	,0.28	,Tmall Global Commission
2018-02-14 20:24:32,2018021421001001220565261799	,117601457327786954	,99.50	,15.68	,USD,6.34480000	,Tmall Logisitic,16.00	,2.52	,菜鸟-保税_服务费用(商家){LP00093808319030}_2604839566
2018-02-14 20:24:32,2018021421001001220565261799	,117601457327786954	,99.50	,15.68	,USD,6.34480000	,Alipay commission,1.00	,0.16	,Alipay service fee
2018-02-14 20:27:31,2018021421001001150541060013	,130032587551068818	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00090680582729}_2604839566
2018-02-14 20:27:31,2018021421001001150541060013	,130032587551068818	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-14 20:27:31,2018021421001001150541060013	,130032587551068818	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00090680582729}_2604839566
2018-02-14 20:27:31,2018021421001001150541060013	,130032587551068818	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 20:58:24,2018021421001001040543794052	,129900818985279909	,42.17	,6.65	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00090680816566}_2604839566
2018-02-14 20:58:24,2018021421001001040543794052	,129900818985279909	,42.17	,6.65	,USD,6.34480000	,Tmall Logisitic,4.49	,0.71	,菜鸟-保税_进口关税(商家){LP00090680816566}_2604839566
2018-02-14 20:58:24,2018021421001001040543794052	,129900818985279909	,42.17	,6.65	,USD,6.34480000	,Alipay commission,0.42	,0.07	,Alipay service fee
2018-02-14 20:58:24,2018021421001001040543794052	,129900818985279909	,42.17	,6.65	,USD,6.34480000	,Tmall Global Commission,0.76	,0.12	,Tmall Global Commission
2018-02-14 21:26:04,2018021421001001730276236940	,117656142198348740	,74.34	,11.72	,USD,6.34480000	,Alipay commission,0.74	,0.12	,Alipay service fee
2018-02-14 21:26:04,2018021421001001730276236940	,117656142198348740	,74.34	,11.72	,USD,6.34480000	,Tmall Logisitic,16.00	,2.52	,菜鸟-保税_服务费用(商家){LP00093808769003}_2604839566
2018-02-14 21:26:04,2018021421001001730276236940	,117656142198348740	,74.34	,11.72	,USD,6.34480000	,Tmall Logisitic,8.98	,1.42	,菜鸟-保税_进口关税(商家){LP00093808769003}_2604839566
2018-02-14 21:26:04,2018021421001001730276236940	,117656142198348740	,74.34	,11.72	,USD,6.34480000	,Tmall Global Commission,1.31	,0.21	,Tmall Global Commission
2018-02-14 21:36:32,2018021421001001980523942002	,117656310639364438	,22.27	,3.51	,USD,6.34480000	,Tmall Global Commission,0.40	,0.06	,Tmall Global Commission
2018-02-14 21:36:32,2018021421001001980523942002	,117656310639364438	,22.27	,3.51	,USD,6.34480000	,Alipay commission,0.22	,0.03	,Alipay service fee
2018-02-14 21:36:32,2018021421001001980523942002	,117656310639364438	,22.27	,3.51	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00094546758821}_2604839566
2018-02-14 21:36:32,2018021421001001980523942002	,117656310639364438	,22.27	,3.51	,USD,6.34480000	,Tmall Logisitic,2.37	,0.37	,菜鸟-保税_进口关税(商家){LP00094546758821}_2604839566
2018-02-14 21:43:06,2018021421001001070545319616	,125234041378127665	,22.27	,3.51	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00093808853539}_2604839566
2018-02-14 21:43:06,2018021421001001070545319616	,125234041378127665	,22.27	,3.51	,USD,6.34480000	,Alipay commission,0.22	,0.03	,Alipay service fee
2018-02-14 21:43:06,2018021421001001070545319616	,125234041378127665	,22.27	,3.51	,USD,6.34480000	,Tmall Global Commission,0.40	,0.06	,Tmall Global Commission
2018-02-14 21:43:06,2018021421001001070545319616	,125234041378127665	,22.27	,3.51	,USD,6.34480000	,Tmall Logisitic,2.37	,0.37	,菜鸟-保税_进口关税(商家){LP00093808853539}_2604839566
2018-02-14 21:54:33,2018021421001001470577356958	,125252520160472393	,287.65	,45.34	,USD,6.34480000	,Alipay commission,2.88	,0.45	,Alipay service fee
2018-02-14 21:54:33,2018021421001001470577356958	,125252520160472393	,287.65	,45.34	,USD,6.34480000	,Tmall Global Commission,5.12	,0.81	,Tmall Global Commission
2018-02-14 21:54:33,2018021421001001470577356958	,125252520160472393	,287.65	,45.34	,USD,6.34480000	,Tmall Logisitic,19.00	,2.99	,菜鸟-保税_服务费用(商家){LP00090681416046}_2604839566
2018-02-14 21:54:33,2018021421001001470577356958	,125252520160472393	,287.65	,45.34	,USD,6.34480000	,Tmall Logisitic,31.65	,4.99	,菜鸟-保税_进口关税(商家){LP00090681416046}_2604839566
2018-02-14 22:04:36,2018021421001001560539571927	,125256610749639198	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00093808883829}_2604839566
2018-02-14 22:04:36,2018021421001001560539571927	,125256610749639198	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 22:04:36,2018021421001001560539571927	,125256610749639198	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00093808883829}_2604839566
2018-02-14 22:04:36,2018021421001001560539571927	,125256610749639198	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-14 22:12:50,2018021421001001220245035115	,125192211961468761	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00094547052667}_2604839566
2018-02-14 22:12:50,2018021421001001220245035115	,125192211961468761	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-14 22:12:50,2018021421001001220245035115	,125192211961468761	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00094547052667}_2604839566
2018-02-14 22:12:50,2018021421001001220245035115	,125192211961468761	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 22:37:42,2018021421001001570563575475	,117600952965770749	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 22:37:42,2018021421001001570563575475	,117600952965770749	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00094547274546}_2604839566
2018-02-14 22:37:42,2018021421001001570563575475	,117600952965770749	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00094547274546}_2604839566
2018-02-14 22:37:42,2018021421001001570563575475	,117600952965770749	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-14 23:13:52,2018021421001001870272966935	,117664514419154141	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00094547377250}_2604839566
2018-02-14 23:13:52,2018021421001001870272966935	,117664514419154141	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00094547377250}_2604839566
2018-02-14 23:13:52,2018021421001001870272966935	,117664514419154141	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-14 23:13:52,2018021421001001870272966935	,117664514419154141	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-15 00:09:16,2018021521001001230571489669	,117667342683835757	,69.60	,10.97	,USD,6.34480000	,Alipay commission,0.70	,0.11	,Alipay service fee
2018-02-15 00:09:16,2018021521001001230571489669	,117667342683835757	,69.60	,10.97	,USD,6.34480000	,Tmall Logisitic,8.47	,1.33	,菜鸟-保税_进口关税(商家){LP00094547719537}_2604839566
2018-02-15 00:09:16,2018021521001001230571489669	,117667342683835757	,69.60	,10.97	,USD,6.34480000	,Tmall Global Commission,1.22	,0.19	,Tmall Global Commission
2018-02-15 00:09:16,2018021521001001230571489669	,117667342683835757	,69.60	,10.97	,USD,6.34480000	,Tmall Logisitic,16.00	,2.52	,菜鸟-保税_服务费用(商家){LP00094547719537}_2604839566
2018-02-15 00:16:58,2018021521001001340242255218	,129788732459002617	,59.70	,9.41	,USD,6.34480000	,Tmall Global Commission,1.07	,0.17	,Tmall Global Commission
2018-02-15 00:16:58,2018021521001001340242255218	,129788732459002617	,59.70	,9.41	,USD,6.34480000	,Tmall Logisitic,16.00	,2.52	,菜鸟-保税_服务费用(商家){LP00093810064642}_2604839566
2018-02-15 00:16:58,2018021521001001340242255218	,129788732459002617	,59.70	,9.41	,USD,6.34480000	,Tmall Logisitic,6.35	,1.00	,菜鸟-保税_进口关税(商家){LP00093810064642}_2604839566
2018-02-15 00:16:58,2018021521001001340242255218	,129788732459002617	,59.70	,9.41	,USD,6.34480000	,Alipay commission,0.60	,0.09	,Alipay service fee
2018-02-15 00:17:47,2018021521001001960203587175	,125249721082315564	,79.60	,12.55	,USD,6.34480000	,Alipay commission,0.80	,0.13	,Alipay service fee
2018-02-15 00:17:47,2018021521001001960203587175	,125249721082315564	,79.60	,12.55	,USD,6.34480000	,Tmall Logisitic,16.00	,2.52	,菜鸟-保税_服务费用(商家){LP00090682340356}_2604839566
2018-02-15 00:17:47,2018021521001001960203587175	,125249721082315564	,79.60	,12.55	,USD,6.34480000	,Tmall Logisitic,8.47	,1.33	,菜鸟-保税_进口关税(商家){LP00090682340356}_2604839566
2018-02-15 00:17:47,2018021521001001960203587175	,125249721082315564	,79.60	,12.55	,USD,6.34480000	,Tmall Global Commission,1.42	,0.22	,Tmall Global Commission
2018-02-15 00:19:00,2018021521001001940263238435	,125207387026880181	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00093810202232}_2604839566
2018-02-15 00:19:00,2018021521001001940263238435	,125207387026880181	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-15 00:19:00,2018021521001001940263238435	,125207387026880181	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-15 00:19:00,2018021521001001940263238435	,125207387026880181	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00093810202232}_2604839566
2018-02-15 01:07:54,2018021521001001580284167683	,117609604517883039	,42.17	,6.65	,USD,6.34480000	,Tmall Logisitic,4.49	,0.71	,菜鸟-保税_进口关税(商家){LP00094548055191}_2604839566
2018-02-15 01:07:54,2018021521001001580284167683	,117609604517883039	,42.17	,6.65	,USD,6.34480000	,Tmall Global Commission,0.76	,0.12	,Tmall Global Commission
2018-02-15 01:07:54,2018021521001001580284167683	,117609604517883039	,42.17	,6.65	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00094548055191}_2604839566
2018-02-15 01:07:54,2018021521001001580284167683	,117609604517883039	,42.17	,6.65	,USD,6.34480000	,Alipay commission,0.42	,0.07	,Alipay service fee
2018-02-15 05:48:39,2018021521001001900212269147	,125255629627090597	,89.50	,14.11	,USD,6.34480000	,Tmall Logisitic,16.00	,2.52	,菜鸟-保税_服务费用(商家){LP00093810766131}_2604839566
2018-02-15 05:48:39,2018021521001001900212269147	,125255629627090597	,89.50	,14.11	,USD,6.34480000	,Tmall Global Commission,1.58	,0.25	,Tmall Global Commission
2018-02-15 05:48:39,2018021521001001900212269147	,125255629627090597	,89.50	,14.11	,USD,6.34480000	,Taobaoke’s replenished deduction of International settlement (ordinary Taobaoke)(125255629627090597),3.95	,0.62	,2018021521001001900212269147-Taobaoke’s replenished deduction of International settlement (ordinary Taobaoke)(125255629627090597)
2018-02-15 05:48:39,2018021521001001900212269147	,125255629627090597	,89.50	,14.11	,USD,6.34480000	,Tmall Logisitic,10.59	,1.67	,菜鸟-保税_进口关税(商家){LP00093810766131}_2604839566
2018-02-15 05:48:39,2018021521001001900212269147	,125255629627090597	,89.50	,14.11	,USD,6.34480000	,Alipay commission,0.90	,0.14	,Alipay service fee
2018-02-15 07:25:15,2018021521001001990526799717	,125216319238982692	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-15 07:25:15,2018021521001001990526799717	,125216319238982692	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00094548475792}_2604839566
2018-02-15 07:25:15,2018021521001001990526799717	,125216319238982692	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-15 07:25:15,2018021521001001990526799717	,125216319238982692	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00094548475792}_2604839566
2018-02-15 07:29:20,2018021521001001990527939467	,125279430602982692	,22.27	,3.51	,USD,6.34480000	,Tmall Global Commission,0.40	,0.06	,Tmall Global Commission
2018-02-15 07:29:20,2018021521001001990527939467	,125279430602982692	,22.27	,3.51	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00090682821590}_2604839566
2018-02-15 07:29:20,2018021521001001990527939467	,125279430602982692	,22.27	,3.51	,USD,6.34480000	,Alipay commission,0.22	,0.03	,Alipay service fee
2018-02-15 07:29:20,2018021521001001990527939467	,125279430602982692	,22.27	,3.51	,USD,6.34480000	,Tmall Logisitic,2.37	,0.37	,菜鸟-保税_进口关税(商家){LP00090682821590}_2604839566
2018-02-15 07:34:12,2018021521001001360250408347	,125258037949522686	,39.80	,6.27	,USD,6.34480000	,Tmall Logisitic,4.24	,0.67	,菜鸟-保税_进口关税(商家){LP00090682988919}_2604839566
2018-02-15 07:34:12,2018021521001001360250408347	,125258037949522686	,39.80	,6.27	,USD,6.34480000	,Tmall Global Commission,0.71	,0.11	,Tmall Global Commission
2018-02-15 07:34:12,2018021521001001360250408347	,125258037949522686	,39.80	,6.27	,USD,6.34480000	,Alipay commission,0.40	,0.06	,Alipay service fee
2018-02-15 07:34:12,2018021521001001360250408347	,125258037949522686	,39.80	,6.27	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00090682988919}_2604839566
2018-02-15 08:22:12,2018021521001001360249817757	,125220827028656082	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00090683318132}_2604839566
2018-02-15 08:22:12,2018021521001001360249817757	,125220827028656082	,19.90	,3.14	,USD,6.34480000	,Tmall Global Commission,0.36	,0.06	,Tmall Global Commission
2018-02-15 08:22:12,2018021521001001360249817757	,125220827028656082	,19.90	,3.14	,USD,6.34480000	,Alipay commission,0.20	,0.03	,Alipay service fee
2018-02-15 08:22:12,2018021521001001360249817757	,125220827028656082	,19.90	,3.14	,USD,6.34480000	,Tmall Logisitic,2.12	,0.33	,菜鸟-保税_进口关税(商家){LP00090683318132}_2604839566
2018-02-15 08:22:53,2018021521001001360250971646	,125219651542656082	,22.27	,3.51	,USD,6.34480000	,Tmall Logisitic,13.00	,2.05	,菜鸟-保税_服务费用(商家){LP00093811072439}_2604839566
